Gene	Origen
HIST2H2AC	Reactome
H2AFX	Reactome
HIST1H2BC	Reactome
HIST1H2BD	Reactome
HIST1H2BL	Reactome
HIST1H2BN	Reactome
HIST1H2BM	Reactome
HIST1H2BB	Reactome
HIST1H2BH	Reactome
HIST1H2BO	Reactome
HIST2H2BE	Reactome
HIST1H2BJ	Reactome
H2BFS	Reactome
HIST3H3	Reactome
RUVBL1	Reactome
RUVBL2	Reactome
TERF2IP	Reactome
TERT	Reactome
TINF2	Reactome
TERF2	Reactome
TERF1	Reactome
DNA2	Reactome
POLD2	Reactome
POLD3	Reactome
POLD4	Reactome
POLE2	Reactome
POLA2	Reactome
POLA1	Reactome
POLD1	Reactome
POLE	Reactome
FEN1	Reactome
PCNA	Reactome
PRIM1	Reactome
PRIM2	Reactome
RPA1	Reactome
RPA2	Reactome
RPA3	Reactome
RFC1	Reactome
RFC2	Reactome
RFC3	Reactome
RFC4	Reactome
HIST1H2BK	Reactome
HIST1H2BA	Reactome
HIST3H2BB	Reactome
POT1	Reactome
ACD	Reactome
HIST2H2AA3	Reactome
H2AFB1	Reactome
H2AFZ	Reactome
NHP2	Reactome
WRAP53	Reactome
HIST1H4A	Reactome
TERC	Reactome
